  score1=32, score2=19, dur=438.2, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[GRIM-RAUL], mhash_lshort=I-GRIM-RAUL, mhash=mhash=250511-2107I-GRIM-RAUL,utc=1747012066.41
  score1=26, score2=0, dur=950.3, team1=ews2011, team2=jcizu690, winner=ews2011, mtype=rescue_r2, mhash_short=[KEEN-WORD], mhash_lshort=H-KEEN-WORD, mhash=mhash=250512-0024H-KEEN-WORD,utc=1747023892.87
  score1=31, score2=13, dur=950.2, team1=ews2011, team2=cdembski, winner=ews2011, mtype=rescue_r2, mhash_short=[LATE-ZIGS], mhash_lshort=M-LATE-ZIGS, mhash=mhash=250512-0025M-LATE-ZIGS,utc=1747023951.19
  score1=39, score2=5, dur=950.1, team1=thoma904, team2=bruno752, winner=thoma904, mtype=rescue_r2, mhash_short=[ABLE-BUSH], mhash_lshort=Y-ABLE-BUSH, mhash=mhash=250512-0026Y-ABLE-BUSH,utc=1747024009.50
  score1=38, score2=15, dur=950.3, team1=ews2011, team2=chthigpen, winner=ews2011, mtype=rescue_r2, mhash_short=[REAR-BUDD], mhash_lshort=J-REAR-BUDD, mhash=mhash=250512-0027J-REAR-BUDD,utc=1747024067.78
  score1=38, score2=0, dur=950.1, team1=chthigpen, team2=jcizu690, winner=chthigpen, mtype=rescue_r2, mhash_short=[HIGH-USER], mhash_lshort=W-HIGH-USER, mhash=mhash=250512-0028W-HIGH-USER,utc=1747024126.08
  score1=38, score2=8, dur=950.1, team1=jwenger, team2=bertucci, winner=jwenger, mtype=rescue_r2, mhash_short=[HOLY-MALL], mhash_lshort=I-HOLY-MALL, mhash=mhash=250512-0029I-HOLY-MALL,utc=1747024184.37
  score1=28, score2=26, dur=624.3, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[HUGE-VOSS], mhash_lshort=V-HUGE-VOSS, mhash=mhash=250512-0030V-HUGE-VOSS,utc=1747024242.68
  score1=45, score2=0, dur=950.4, team1=ews2011, team2=ews2011, winner=ews2011, mtype=rescue_r2, mhash_short=[PALE-BRIO], mhash_lshort=A-PALE-BRIO, mhash=mhash=250512-0031A-PALE-BRIO,utc=1747024286.22
  score1=42, score2=8, dur=950.1, team1=thoma904, team2=cdembski, winner=thoma904, mtype=rescue_r2, mhash_short=[POSH-PHIL], mhash_lshort=Y-POSH-PHIL, mhash=mhash=250512-0032Y-POSH-PHIL,utc=1747024344.63
  score1=44, score2=6, dur=950.1, team1=thoma904, team2=cdembski, winner=thoma904, mtype=rescue_r2, mhash_short=[WAVY-LUKA], mhash_lshort=Q-WAVY-LUKA, mhash=mhash=250512-0033Q-WAVY-LUKA,utc=1747024402.93
  score1=29, score2=22, dur=614.1, team1=cdembski, team2=chthigpen, winner=cdembski, mtype=rescue_r2, mhash_short=[NICE-DASH], mhash_lshort=C-NICE-DASH, mhash=mhash=250512-0034C-NICE-DASH,utc=1747024461.29
  score1=39, score2=5, dur=950.1, team1=thoma904, team2=chthigpen, winner=thoma904, mtype=rescue_r2, mhash_short=[BONY-GULP], mhash_lshort=H-BONY-GULP, mhash=mhash=250512-0035H-BONY-GULP,utc=1747024504.32
  score1=36, score2=13, dur=950.3, team1=thoma904, team2=bruno752, winner=thoma904, mtype=rescue_r2, mhash_short=[COLD-ALEC], mhash_lshort=F-COLD-ALEC, mhash=mhash=250512-0036F-COLD-ALEC,utc=1747024562.61
  score1=43, score2=7, dur=950.1, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[VILE-CASE], mhash_lshort=K-VILE-CASE, mhash=mhash=250512-0037K-VILE-CASE,utc=1747024620.95
  score1=27, score2=9, dur=950.2, team1=thoma904, team2=jwenger, winner=thoma904, mtype=rescue_r2, mhash_short=[TORY-TOWN], mhash_lshort=A-TORY-TOWN, mhash=mhash=250512-0037A-TORY-TOWN,utc=1747024679.28
  score1=37, score2=9, dur=950.3, team1=thoma904, team2=ews2011, winner=thoma904, mtype=rescue_r2, mhash_short=[ABLE-PENN], mhash_lshort=D-ABLE-PENN, mhash=mhash=250512-0038D-ABLE-PENN,utc=1747024737.61
  score1=41, score2=0, dur=950.4, team1=chthigpen, team2=chthigpen, winner=chthigpen, mtype=rescue_r2, mhash_short=[TALL-STAN], mhash_lshort=I-TALL-STAN, mhash=mhash=250512-0039I-TALL-STAN,utc=1747024795.95
  score1=40, score2=13, dur=665.7, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[TINY-MARY], mhash_lshort=G-TINY-MARY, mhash=mhash=250512-0040G-TINY-MARY,utc=1747024854.30
  score1=41, score2=4, dur=950.2, team1=thoma904, team2=chthigpen, winner=thoma904, mtype=rescue_r2, mhash_short=[GORY-SKEW], mhash_lshort=T-GORY-SKEW, mhash=mhash=250512-0041T-GORY-SKEW,utc=1747024899.69
  score1=32, score2=4, dur=950.3, team1=chthigpen, team2=cdembski, winner=chthigpen, mtype=rescue_r2, mhash_short=[HALF-GURU], mhash_lshort=J-HALF-GURU, mhash=mhash=250512-0042J-HALF-GURU,utc=1747024958.01
  score1=53, score2=0, dur=789.9, team1=bertucci, team2=bertucci, winner=bertucci, mtype=rescue_r2, mhash_short=[HIND-COBB], mhash_lshort=G-HIND-COBB, mhash=mhash=250512-0043G-HIND-COBB,utc=1747025016.37
  score1=30, score2=23, dur=831.4, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[LONE-KYLO], mhash_lshort=C-LONE-KYLO, mhash=mhash=250512-0044C-LONE-KYLO,utc=1747025067.44
  score1=33, score2=22, dur=626.4, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[GLAD-LARS], mhash_lshort=Z-GLAD-LARS, mhash=mhash=250512-0045Z-GLAD-LARS,utc=1747025120.36
  score1=0, score2=0, dur=950.2, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[WISE-SCAN], mhash_lshort=B-WISE-SCAN, mhash=mhash=250512-0046B-WISE-SCAN,utc=1747025163.96
  score1=33, score2=19, dur=632.5, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[TEDS-TROY], mhash_lshort=S-TEDS-TROY, mhash=mhash=250512-0047S-TEDS-TROY,utc=1747025222.30
  score1=27, score2=25, dur=950.1, team1=jwenger, team2=cschnorr, winner=jwenger, mtype=rescue_r2, mhash_short=[MAIN-BOON], mhash_lshort=I-MAIN-BOON, mhash=mhash=250512-0047I-MAIN-BOON,utc=1747025266.19
  score1=38, score2=16, dur=681.4, team1=ews2011, team2=ekwang, winner=ews2011, mtype=rescue_r2, mhash_short=[NUMB-RHYS], mhash_lshort=S-NUMB-RHYS, mhash=mhash=250512-0048S-NUMB-RHYS,utc=1747025324.49
  score1=47, score2=0, dur=613.9, team1=jwenger, team2=jwenger, winner=jwenger, mtype=rescue_r2, mhash_short=[PALE-ZALE], mhash_lshort=U-PALE-ZALE, mhash=mhash=250512-0049U-PALE-ZALE,utc=1747025370.63
  score1=51, score2=3, dur=901, team1=bruno752, team2=jwenger, winner=bruno752, mtype=rescue_r2, mhash_short=[DUAL-BANG], mhash_lshort=H-DUAL-BANG, mhash=mhash=250512-0050H-DUAL-BANG,utc=1747025413.68
  score1=27, score2=19, dur=535.8, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[OVAL-GLEN], mhash_lshort=V-OVAL-GLEN, mhash=mhash=250512-0051V-OVAL-GLEN,utc=1747025469.77
  score1=32, score2=20, dur=527.6, team1=bertucci, team2=ekwang, winner=bertucci, mtype=rescue_r2, mhash_short=[DEAR-PICS], mhash_lshort=Q-DEAR-PICS, mhash=mhash=250512-0051Q-DEAR-PICS,utc=1747025509.30
  score1=49, score2=0, dur=950.2, team1=chthigpen, team2=jcizu690, winner=chthigpen, mtype=rescue_r2, mhash_short=[VERY-TECH], mhash_lshort=H-VERY-TECH, mhash=mhash=250512-0052H-VERY-TECH,utc=1747025548.43
  score1=42, score2=0, dur=530.7, team1=ekwang, team2=ekwang, winner=ekwang, mtype=rescue_r2, mhash_short=[WILD-MOTH], mhash_lshort=R-WILD-MOTH, mhash=mhash=250512-0053R-WILD-MOTH,utc=1747025606.74
  score1=31, score2=18, dur=489.4, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[BOLD-KIND], mhash_lshort=K-BOLD-KIND, mhash=mhash=250512-0054K-BOLD-KIND,utc=1747025646.00
  score1=8, score2=0, dur=21429.7, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[BOBS-JAZZ], mhash_lshort=W-BOBS-JAZZ, mhash=mhash=250512-0054W-BOBS-JAZZ,utc=1747025683.37
  score1=41, score2=5, dur=950.4, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[MASS-INFO], mhash_lshort=P-MASS-INFO, mhash=mhash=250512-0111P-MASS-INFO,utc=1747026672.52
  score1=33, score2=18, dur=560.2, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[FOND-GURU], mhash_lshort=U-FOND-GURU, mhash=mhash=250512-0127U-FOND-GURU,utc=1747027664.76
  score1=0, score2=0, dur=20461.2, team1=cdembski, team2=chthigpen, winner=cdembski, mtype=rescue_r2, mhash_short=[WILD-HELM], mhash_lshort=K-WILD-HELM, mhash=mhash=250512-0128K-WILD-HELM,utc=1747027705.34
  score1=29, score2=4, dur=6750, team1=jwenger, team2=ekwang, winner=jwenger, mtype=rescue_r2, mhash_short=[ONLY-ROCK], mhash_lshort=X-ONLY-ROCK, mhash=mhash=250512-0144X-ONLY-ROCK,utc=1747028650.48
  score1=48, score2=3, dur=703, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[LAZY-VOID], mhash_lshort=N-LAZY-VOID, mhash=mhash=250512-0149N-LAZY-VOID,utc=1747028972.50
  score1=40, score2=11, dur=950.3, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[MISC-ZANE], mhash_lshort=P-MISC-ZANE, mhash=mhash=250512-0207P-MISC-ZANE,utc=1747030044.49
  score1=31, score2=20, dur=950.2, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[GAMY-ZITS], mhash_lshort=I-GAMY-ZITS, mhash=mhash=250512-0208I-GAMY-ZITS,utc=1747030102.83
  score1=8, score2=7, dur=950.3, team1=jwenger, team2=thoma904, winner=jwenger, mtype=rescue_r2, mhash_short=[POSH-DRIP], mhash_lshort=C-POSH-DRIP, mhash=mhash=250512-0209C-POSH-DRIP,utc=1747030161.18
  score1=26, score2=26, dur=525.7, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[FOUR-IVAN], mhash_lshort=F-FOUR-IVAN, mhash=mhash=250512-0227F-FOUR-IVAN,utc=1747031234.76
  score1=1, score2=0, dur=20056.8, team1=thoma904, team2=jcizu690, winner=thoma904, mtype=rescue_r2, mhash_short=[POSH-CLAW], mhash_lshort=L-POSH-CLAW, mhash=mhash=250512-0227L-POSH-CLAW,utc=1747031273.75
  score1=31, score2=3, dur=21228.2, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[DUMB-LEVI], mhash_lshort=M-DUMB-LEVI, mhash=mhash=250512-0243M-DUMB-LEVI,utc=1747032200.46
  score1=27, score2=23, dur=479.8, team1=cdembski, team2=chthigpen, winner=cdembski, mtype=rescue_r2, mhash_short=[LAZY-VICK], mhash_lshort=X-LAZY-VICK, mhash=mhash=250512-0259X-LAZY-VICK,utc=1747033180.47
  score1=3, score2=0, dur=950.1, team1=ekwang, team2=jcizu690, winner=ekwang, mtype=rescue_r2, mhash_short=[THIN-JOEL], mhash_lshort=E-THIN-JOEL, mhash=mhash=250512-0316E-THIN-JOEL,utc=1747034199.07
  score1=3, score2=2, dur=7832.2, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[TORY-LUKA], mhash_lshort=J-TORY-LUKA, mhash=mhash=250512-0317J-TORY-LUKA,utc=1747034257.38
  score1=37, score2=0, dur=23668.8, team1=cdembski, team2=jcizu690, winner=cdembski, mtype=rescue_r2, mhash_short=[FLAT-ALTO], mhash_lshort=X-FLAT-ALTO, mhash=mhash=250512-0323X-FLAT-ALTO,utc=1747034628.46
  score1=29, score2=27, dur=555.7, team1=cschnorr, team2=chthigpen, winner=cschnorr, mtype=rescue_r2, mhash_short=[DAFT-POOL], mhash_lshort=N-DAFT-POOL, mhash=mhash=250512-0341N-DAFT-POOL,utc=1747035719.45
  score1=12, score2=9, dur=19986.5, team1=ews2011, team2=bertucci, winner=ews2011, mtype=rescue_r2, mhash_short=[PAST-GULP], mhash_lshort=R-PAST-GULP, mhash=mhash=250512-0342R-PAST-GULP,utc=1747035759.87
  score1=25, score2=4, dur=950.3, team1=thoma904, team2=cdembski, winner=thoma904, mtype=rescue_r2, mhash_short=[NEAR-RICE], mhash_lshort=P-NEAR-RICE, mhash=mhash=250512-0358P-NEAR-RICE,utc=1747036683.45
  score1=46, score2=7, dur=950.1, team1=thoma904, team2=ews2011, winner=thoma904, mtype=rescue_r2, mhash_short=[BENS-BOLT], mhash_lshort=C-BENS-BOLT, mhash=mhash=250512-0359C-BENS-BOLT,utc=1747036741.80
  score1=40, score2=2, dur=950.3, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[GORY-ERLE], mhash_lshort=E-GORY-ERLE, mhash=mhash=250512-0400E-GORY-ERLE,utc=1747036800.12
  score1=24, score2=24, dur=950.2, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[IDLE-ZALE], mhash_lshort=Z-IDLE-ZALE, mhash=mhash=250512-0400Z-IDLE-ZALE,utc=1747036858.47
  score1=30, score2=27, dur=626.8, team1=bertucci, team2=cschnorr, winner=bertucci, mtype=rescue_r2, mhash_short=[LONG-WIFE], mhash_lshort=U-LONG-WIFE, mhash=mhash=250512-0401U-LONG-WIFE,utc=1747036916.81
  score1=26, score2=23, dur=406.5, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[HAZY-VIEW], mhash_lshort=K-HAZY-VIEW, mhash=mhash=250512-0402K-HAZY-VIEW,utc=1747036960.46
  score1=33, score2=13, dur=572.8, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[BARE-DAVY], mhash_lshort=P-BARE-DAVY, mhash=mhash=250512-0403P-BARE-DAVY,utc=1747036994.09
  score1=31, score2=26, dur=594.7, team1=bruno752, team2=cschnorr, winner=bruno752, mtype=rescue_r2, mhash_short=[DUMB-DINO], mhash_lshort=L-DUMB-DINO, mhash=mhash=250512-0403L-DUMB-DINO,utc=1747037035.28
  score1=25, score2=24, dur=950.1, team1=cdembski, team2=ekwang, winner=cdembski, mtype=rescue_r2, mhash_short=[VICE-WOLF], mhash_lshort=S-VICE-WOLF, mhash=mhash=250512-0404S-VICE-WOLF,utc=1747037077.45
  score1=44, score2=6, dur=950.1, team1=thoma904, team2=ews2011, winner=thoma904, mtype=rescue_r2, mhash_short=[BOBS-ROAD], mhash_lshort=M-BOBS-ROAD, mhash=mhash=250512-0405M-BOBS-ROAD,utc=1747037135.77
  score1=27, score2=27, dur=950.4, team1=ews2011, team2=chthigpen, winner=ews2011, mtype=rescue_r2, mhash_short=[FIRM-ISLE], mhash_lshort=W-FIRM-ISLE, mhash=mhash=250512-0406W-FIRM-ISLE,utc=1747037194.06
  score1=28, score2=23, dur=950.1, team1=jwenger, team2=chthigpen, winner=jwenger, mtype=rescue_r2, mhash_short=[HALF-SHOT], mhash_lshort=R-HALF-SHOT, mhash=mhash=250512-0407R-HALF-SHOT,utc=1747037252.39
  score1=28, score2=26, dur=590.5, team1=bruno752, team2=cschnorr, winner=bruno752, mtype=rescue_r2, mhash_short=[SOFT-NYLE], mhash_lshort=L-SOFT-NYLE, mhash=mhash=250512-0408L-SOFT-NYLE,utc=1747037310.70
  score1=29, score2=9, dur=950.1, team1=thoma904, team2=chthigpen, winner=thoma904, mtype=rescue_r2, mhash_short=[NEXT-TOUR], mhash_lshort=X-NEXT-TOUR, mhash=mhash=250512-0409X-NEXT-TOUR,utc=1747037352.68
  score1=38, score2=0, dur=950.2, team1=chthigpen, team2=jcizu690, winner=chthigpen, mtype=rescue_r2, mhash_short=[POSH-JASE], mhash_lshort=S-POSH-JASE, mhash=mhash=250512-0410S-POSH-JASE,utc=1747037411.00
  score1=29, score2=27, dur=595.6, team1=ews2011, team2=cschnorr, winner=ews2011, mtype=rescue_r2, mhash_short=[GORY-MITT], mhash_lshort=U-GORY-MITT, mhash=mhash=250512-0411U-GORY-MITT,utc=1747037469.30
  score1=30, score2=19, dur=950.3, team1=jwenger, team2=ews2011, winner=jwenger, mtype=rescue_r2, mhash_short=[THEN-BUCK], mhash_lshort=B-THEN-BUCK, mhash=mhash=250512-0427B-THEN-BUCK,utc=1747038424.42
  score1=30, score2=26, dur=23810.7, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[VICE-DINO], mhash_lshort=T-VICE-DINO, mhash=mhash=250512-0445T-VICE-DINO,utc=1747039521.99
  score1=50, score2=0, dur=765.4, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[TORY-EARL], mhash_lshort=X-TORY-EARL, mhash=mhash=250512-0503X-TORY-EARL,utc=1747040619.40
  score1=30, score2=24, dur=548.1, team1=ews2011, team2=ekwang, winner=ews2011, mtype=rescue_r2, mhash_short=[DAMP-MOOS], mhash_lshort=G-DAMP-MOOS, mhash=mhash=250512-0504G-DAMP-MOOS,utc=1747040669.31
  score1=27, score2=15, dur=950.3, team1=thoma904, team2=jwenger, winner=thoma904, mtype=rescue_r2, mhash_short=[HIGH-LARS], mhash_lshort=T-HIGH-LARS, mhash=mhash=250512-0505T-HIGH-LARS,utc=1747040709.32
  score1=34, score2=7, dur=950.2, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[BASS-CODY], mhash_lshort=F-BASS-CODY, mhash=mhash=250512-0506F-BASS-CODY,utc=1747040767.62
  score1=22, score2=0, dur=23284, team1=ekwang, team2=ekwang, winner=ekwang, mtype=rescue_r2, mhash_short=[CHIC-MEMO], mhash_lshort=W-CHIC-MEMO, mhash=mhash=250512-0507W-CHIC-MEMO,utc=1747040825.90
  score1=46, score2=3, dur=21514.4, team1=bruno752, team2=ekwang, winner=bruno752, mtype=rescue_r2, mhash_short=[WISE-CHIP], mhash_lshort=A-WISE-CHIP, mhash=mhash=250512-0524A-WISE-CHIP,utc=1747041899.43
  score1=30, score2=24, dur=418.6, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[MEEK-WASP], mhash_lshort=Q-MEEK-WASP, mhash=mhash=250512-0541Q-MEEK-WASP,utc=1747042892.43
  score1=31, score2=22, dur=3694, team1=ews2011, team2=ekwang, winner=ews2011, mtype=rescue_r2, mhash_short=[EPIC-MENU], mhash_lshort=H-EPIC-MENU, mhash=mhash=250512-0558H-EPIC-MENU,utc=1747043889.42
  score1=21, score2=0, dur=3012.3, team1=thoma904, team2=jcizu690, winner=thoma904, mtype=rescue_r2, mhash_short=[GLUM-FOOL], mhash_lshort=G-GLUM-FOOL, mhash=mhash=250512-0601G-GLUM-FOOL,utc=1747044072.43
  score1=26, score2=25, dur=446.2, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[FOND-GLEE], mhash_lshort=M-FOND-GLEE, mhash=mhash=250512-0603M-FOND-GLEE,utc=1747044224.41
  score1=43, score2=1, dur=950.3, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[FOXY-TART], mhash_lshort=X-FOXY-TART, mhash=mhash=250512-0621X-FOXY-TART,utc=1747045291.43
  score1=29, score2=24, dur=535.4, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[CUTE-SEAN], mhash_lshort=X-CUTE-SEAN, mhash=mhash=250512-0638X-CUTE-SEAN,utc=1747046330.34
  score1=26, score2=0, dur=22803.9, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[DANK-SKIP], mhash_lshort=U-DANK-SKIP, mhash=mhash=250512-0639U-DANK-SKIP,utc=1747046369.79
  score1=24, score2=24, dur=369.8, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[KEEN-TEXT], mhash_lshort=D-KEEN-TEXT, mhash=mhash=250512-0657D-KEEN-TEXT,utc=1747047421.41
  score1=45, score2=7, dur=950.2, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[LAZY-BUNK], mhash_lshort=W-LAZY-BUNK, mhash=mhash=250512-0657W-LAZY-BUNK,utc=1747047453.30
  score1=48, score2=3, dur=950.1, team1=bruno752, team2=ekwang, winner=bruno752, mtype=rescue_r2, mhash_short=[TIDY-RICE], mhash_lshort=F-TIDY-RICE, mhash=mhash=250512-0658F-TIDY-RICE,utc=1747047511.60
  score1=24, score2=24, dur=449.9, team1=cdembski, team2=chthigpen, winner=cdembski, mtype=rescue_r2, mhash_short=[SLIM-HALF], mhash_lshort=Q-SLIM-HALF, mhash=mhash=250512-0659Q-SLIM-HALF,utc=1747047586.37
  score1=7, score2=5, dur=10404.7, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[RICH-LIME], mhash_lshort=A-RICH-LIME, mhash=mhash=250512-0700A-RICH-LIME,utc=1747047621.87
  score1=24, score2=19, dur=369.9, team1=ekwang, team2=ews2011, winner=ekwang, mtype=rescue_r2, mhash_short=[RUBY-BURL], mhash_lshort=C-RUBY-BURL, mhash=mhash=250512-0708C-RUBY-BURL,utc=1747048109.82
  score1=40, score2=5, dur=950.2, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[VERY-NEWS], mhash_lshort=G-VERY-NEWS, mhash=mhash=250512-0709G-VERY-NEWS,utc=1747048141.62
  score1=44, score2=0, dur=650.8, team1=bertucci, team2=jcizu690, winner=bertucci, mtype=rescue_r2, mhash_short=[GAMY-EGGS], mhash_lshort=X-GAMY-EGGS, mhash=mhash=250512-0709X-GAMY-EGGS,utc=1747048199.78
  score1=29, score2=28, dur=716.2, team1=cdembski, team2=ews2011, winner=cdembski, mtype=rescue_r2, mhash_short=[NUDE-ROOT], mhash_lshort=S-NUDE-ROOT, mhash=mhash=250512-0710S-NUDE-ROOT,utc=1747048244.35
  score1=28, score2=21, dur=431.7, team1=chthigpen, team2=cdembski, winner=chthigpen, mtype=rescue_r2, mhash_short=[WILD-AJAX], mhash_lshort=U-WILD-AJAX, mhash=mhash=250512-0711U-WILD-AJAX,utc=1747048291.88
  score1=44, score2=0, dur=950.2, team1=chthigpen, team2=jcizu690, winner=chthigpen, mtype=rescue_r2, mhash_short=[EVIL-WITT], mhash_lshort=R-EVIL-WITT, mhash=mhash=250512-0712R-EVIL-WITT,utc=1747048326.47
  score1=41, score2=3, dur=950.2, team1=chthigpen, team2=cdembski, winner=chthigpen, mtype=rescue_r2, mhash_short=[POSH-BEAU], mhash_lshort=E-POSH-BEAU, mhash=mhash=250512-0713E-POSH-BEAU,utc=1747048384.63
  score1=30, score2=22, dur=480.8, team1=bertucci, team2=cschnorr, winner=bertucci, mtype=rescue_r2, mhash_short=[SLIM-WHIT], mhash_lshort=Z-SLIM-WHIT, mhash=mhash=250512-0714Z-SLIM-WHIT,utc=1747048442.81
  score1=28, score2=0, dur=950.2, team1=ekwang, team2=ekwang, winner=ekwang, mtype=rescue_r2, mhash_short=[BACK-PARK], mhash_lshort=K-BACK-PARK, mhash=mhash=250512-0714K-BACK-PARK,utc=1747048479.63
  score1=50, score2=0, dur=864.5, team1=bruno752, team2=bruno752, winner=bruno752, mtype=rescue_r2, mhash_short=[CUTE-ALTO], mhash_lshort=Y-CUTE-ALTO, mhash=mhash=250512-0715Y-CUTE-ALTO,utc=1747048537.79
  score1=31, score2=24, dur=581.7, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[DRAB-RAIN], mhash_lshort=H-DRAB-RAIN, mhash=mhash=250512-0716H-DRAB-RAIN,utc=1747048592.16
  score1=49, score2=4, dur=905.8, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[KEEN-SIZE], mhash_lshort=B-KEEN-SIZE, mhash=mhash=250512-0717B-KEEN-SIZE,utc=1747048633.71
  score1=43, score2=5, dur=571.5, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[LIKE-JOSE], mhash_lshort=Z-LIKE-JOSE, mhash=mhash=250512-0718Z-LIKE-JOSE,utc=1747048690.01
  score1=30, score2=28, dur=733.9, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[HEAD-ROLE], mhash_lshort=Y-HEAD-ROLE, mhash=mhash=250512-0718Y-HEAD-ROLE,utc=1747048731.10
  score1=30, score2=24, dur=560.1, team1=chthigpen, team2=bertucci, winner=chthigpen, mtype=rescue_r2, mhash_short=[PAST-RAFT], mhash_lshort=P-PAST-RAFT, mhash=mhash=250512-0719P-PAST-RAFT,utc=1747048779.56
  score1=49, score2=1, dur=950.2, team1=bruno752, team2=jwenger, winner=bruno752, mtype=rescue_r2, mhash_short=[OVAL-MOVE], mhash_lshort=D-OVAL-MOVE, mhash=mhash=250512-0720D-OVAL-MOVE,utc=1747048820.11
  score1=30, score2=23, dur=535.5, team1=bertucci, team2=chthigpen, winner=bertucci, mtype=rescue_r2, mhash_short=[DUMB-MINT], mhash_lshort=P-DUMB-MINT, mhash=mhash=250512-0721P-DUMB-MINT,utc=1747048879.04
  score1=37, score2=9, dur=605.3, team1=jwenger, team2=ekwang, winner=jwenger, mtype=rescue_r2, mhash_short=[OPEN-HEAD], mhash_lshort=B-OPEN-HEAD, mhash=mhash=250512-0725B-OPEN-HEAD,utc=1747049122.91
  score1=40, score2=0, dur=579.8, team1=ekwang, team2=ekwang, winner=ekwang, mtype=rescue_r2, mhash_short=[FULL-DEAN], mhash_lshort=T-FULL-DEAN, mhash=mhash=250512-0726T-FULL-DEAN,utc=1747049165.43
  score1=35, score2=21, dur=563, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[MAIN-LAND], mhash_lshort=B-MAIN-LAND, mhash=mhash=250512-0726B-MAIN-LAND,utc=1747049206.80
  score1=38, score2=15, dur=950.1, team1=thoma904, team2=bertucci, winner=thoma904, mtype=rescue_r2, mhash_short=[LONE-MILO], mhash_lshort=X-LONE-MILO, mhash=mhash=250512-0727X-LONE-MILO,utc=1747049247.36
  score1=30, score2=23, dur=507.4, team1=ews2011, team2=cdembski, winner=ews2011, mtype=rescue_r2, mhash_short=[NEAT-TREE], mhash_lshort=K-NEAT-TREE, mhash=mhash=250512-0728K-NEAT-TREE,utc=1747049305.50
  score1=23, score2=22, dur=376.7, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[WIDE-GOLD], mhash_lshort=D-WIDE-GOLD, mhash=mhash=250512-0729D-WIDE-GOLD,utc=1747049343.54
  score1=33, score2=18, dur=624.4, team1=chthigpen, team2=ekwang, winner=chthigpen, mtype=rescue_r2, mhash_short=[FINE-CLUB], mhash_lshort=L-FINE-CLUB, mhash=mhash=250512-0729L-FINE-CLUB,utc=1747049375.65
